с,В
30.6602,0.8702
30.6607,0.8318
30.6613,0.8024
30.6618,0.7954
30.6624,0.8169
30.6629,0.8632
30.6635,0.9233
30.6641,0.9823
30.6646,1.0267
30.6652,1.0477
30.6657,1.0436
30.6663,1.0195
30.6669,0.9845
30.6675,0.9490
30.6680,0.9216
30.6686,0.9076
30.6692,0.9086
30.6697,0.9222
30.6703,0.9428
30.6709,0.9624
30.6714,0.9733
30.6720,0.9701
30.6726,0.9514
30.6732,0.9201
30.6737,0.8818
30.6743,0.8439
30.6749,0.8139
30.6755,0.7979
30.6761,0.7988
30.6766,0.8149
30.6772,0.8399
30.6777,0.8645
30.6782,0.8799
30.6788,0.8805
30.6793,0.8664
30.6799,0.8422
30.6804,0.8161
30.6810,0.7960
30.6815,0.7863
30.6821,0.7868
30.6826,0.7925
30.6832,0.7975
30.6837,0.7980
30.6843,0.7948
30.6848,0.7935
30.6854,0.8004
30.6859,0.8189
30.6865,0.8468
30.6870,0.8766
30.6876,0.8986
30.6882,0.9049
30.6887,0.8921
30.6893,0.8636
30.6898,0.8289
30.6903,0.8015
30.6909,0.7941
30.6914,0.8141
30.6920,0.8600
30.6925,0.9210
30.6931,0.9807
30.6936,1.0231
30.6942,1.0385
30.6947,1.0267
30.6953,0.9956
30.6958,0.9578
30.6963,0.9245
30.6969,0.9029
30.6974,0.8942
30.6980,0.8954
30.6986,0.9011
30.6992,0.9066
30.6998,0.9088
30.7003,0.9067
30.7009,0.9006
30.7014,0.8914
30.7020,0.8812
30.7025,0.8727
30.7030,0.8692
30.7036,0.8725
30.7041,0.8812
30.7046,0.8913
30.7052,0.8975
30.7057,0.8964
30.7063,0.8879
30.7068,0.8755
30.7073,0.8654
30.7078,0.8630
30.7083,0.8712
30.7088,0.8892
30.7093,0.9130
30.7099,0.9371
30.7105,0.9561
30.7112,0.9662
30.7119,0.9657
30.7127,0.9556
30.7135,0.9385
30.7143,0.9189
30.7151,0.9016
30.7158,0.8921
30.7164,0.8951
30.7169,0.9134
30.7174,0.9460
30.7179,0.9868
30.7185,1.0261
30.7190,1.0534
30.7195,1.0622
30.7201,1.0525
30.7206,1.0312
30.7212,1.0089
30.7217,0.9964
30.7223,1.0009
30.7228,1.0241
30.7233,1.0612
30.7239,1.1031
30.7244,1.1395
30.7249,1.1626
30.7255,1.1699
30.7260,1.1652
30.7265,1.1562
30.7271,1.1503
30.7276,1.1511
30.7282,1.1569
30.7287,1.1618
30.7292,1.1595
30.7298,1.1467
30.7303,1.1245
30.7308,1.0973
30.7314,1.0707
30.7319,1.0484
30.7324,1.0319
30.7330,1.0210
30.7335,1.0153
30.7340,1.0145
30.7346,1.0185
30.7351,1.0259
30.7356,1.0341
30.7362,1.0408
30.7367,1.0457
30.7373,1.0509
30.7378,1.0589
30.7383,1.0701
30.7389,1.0817
30.7394,1.0884
30.7399,1.0858
30.7405,1.0727
30.7410,1.0533
30.7415,1.0357
30.7421,1.0284
30.7426,1.0362
30.7431,1.0581
30.7437,1.0874
30.7442,1.1159
30.7447,1.1375
30.7453,1.1509
30.7458,1.1591
30.7464,1.1671
30.7469,1.1789
30.7474,1.1965
30.7480,1.2194
30.7485,1.2460
30.7490,1.2743
30.7496,1.3022
30.7501,1.3286
30.7506,1.3526
30.7512,1.3730
30.7517,1.3877
30.7522,1.3929
30.7528,1.3852
30.7533,1.3639
30.7539,1.3321
30.7544,1.2969
30.7549,1.2665
30.7555,1.2472
30.7560,1.2412
30.7565,1.2459
30.7571,1.2553
30.7576,1.2627
30.7582,1.2639
30.7587,1.2595
30.7592,1.2548
30.7598,1.2569
30.7603,1.2704
30.7608,1.2942
30.7614,1.3216
30.7619,1.3437
30.7624,1.3543
30.7630,1.3523
30.7635,1.3421
30.7640,1.3308
30.7646,1.3246
30.7651,1.3249
30.7657,1.3278
30.7662,1.3259
30.7667,1.3126
30.7673,1.2857
30.7678,1.2485
30.7683,1.2094
30.7689,1.1779
30.7694,1.1616
30.7699,1.1637
30.7705,1.1817
30.7710,1.2092
30.7715,1.2385
30.7721,1.2630
30.7726,1.2782
30.7731,1.2819
30.7737,1.2741
30.7742,1.2566
30.7747,1.2330
30.7753,1.2086
30.7758,1.1904
30.7764,1.1846
30.7769,1.1949
30.7774,1.2199
